StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.014,0.08,0.198,0.011,False,2.9136577483183434147886522874
0.014,0.08,0.199,0.011,False,2.9136577483183434147886522874
0.015,0.08,0.198,0.011,False,2.8492326087809409055606345060
0.015,0,0.180,0.028,False,2.7451727633848126420595925946
0.014,0.07,0.194,0.011,False,2.7292712856191246393310139240
0.014,0.07,0.195,0.011,False,2.7292712856191246393310139240
0.014,0.07,0.196,0.011,False,2.7292712856191246393310139240
0.014,0.07,0.197,0.011,False,2.7292712856191246393310139240
0.013,0.07,0.194,0.012,False,2.7150358631931219873125628052
0.013,0.07,0.195,0.012,False,2.7150358631931219873125628052
0.013,0.07,0.196,0.012,False,2.7150358631931219873125628052
0.013,0.07,0.197,0.012,False,2.7150358631931219873125628052
0.016,0.09,0.197,0.011,False,2.7098600337194466328931739162
0.016,0.06,0.196,0.011,False,2.7058628242890502126067744368
0.016,0.06,0.197,0.011,False,2.7058628242890502126067744368
0.016,0.06,0.198,0.011,False,2.7058628242890502126067744368
0,0.01,0.197,0.025,False,2.7056337709354513953787406366
0,0,0.192,0.025,False,2.6999818211303034896936065281
0,0,0.193,0.025,False,2.6999818211303034896936065281
0,0,0.194,0.025,False,2.6999818211303034896936065281
0,0,0.195,0.025,False,2.6999818211303034896936065281
0,0,0.196,0.025,False,2.6999818211303034896936065281
0,0.01,0.192,0.025,False,2.6982526114027637568243491303
0,0.01,0.193,0.025,False,2.6982526114027637568243491303
0,0.01,0.194,0.025,False,2.6982526114027637568243491303
0,0.01,0.195,0.025,False,2.6982526114027637568243491303
0,0.01,0.196,0.025,False,2.6982526114027637568243491303
0,0.01,0.198,0.025,False,2.6959521758128421955208453148
0,0.01,0.199,0.025,False,2.6959521758128421955208453148
0,0,0.197,0.025,False,2.6957213389472186840886873502
0.014,0.08,0.186,0.008,False,2.6936940907054137196909352537
0.014,0.08,0.187,0.008,False,2.6936940907054137196909352537
0.014,0.08,0.188,0.008,False,2.6936940907054137196909352537
0.014,0.08,0.189,0.008,False,2.6936940907054137196909352537
0.016,0.09,0.183,0.007,False,2.6882249989548469207747809778
0,0,0.198,0.025,False,2.6860397438246094842307920284
0,0,0.199,0.025,False,2.6860397438246094842307920284
