StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result
0.026,0.01,0.192,0.013,False,2.3450696700657866234054147792
0.026,0.01,0.193,0.013,False,2.3450696700657866234054147792
0.026,0.01,0.194,0.013,False,2.3450696700657866234054147792
0.026,0.01,0.195,0.013,False,2.3450696700657866234054147792
0.026,0.01,0.192,0.012,False,2.3364713444137023991461419053
0.026,0.01,0.193,0.012,False,2.3364713444137023991461419053
0.026,0.01,0.194,0.012,False,2.3364713444137023991461419053
0.026,0.01,0.191,0.013,False,2.3242051393751351928606083090
0.027,0.01,0.192,0.013,False,2.3189233881001824002661403298
0.027,0.01,0.193,0.013,False,2.3189233881001824002661403298
0.027,0.01,0.194,0.013,False,2.3189233881001824002661403298
0.027,0.01,0.195,0.013,False,2.3189233881001824002661403298
0.026,0.01,0.191,0.012,False,2.3156068137230509686013354351
0.027,0.01,0.192,0.012,False,2.3103256686236169590870989307
0.027,0.01,0.193,0.012,False,2.3103256686236169590870989307
0.027,0.01,0.194,0.012,False,2.3103256686236169590870989307
0.027,0.01,0.190,0.013,False,2.3084589344028646046885771838
0.029,0.04,0.192,0.013,False,2.3005826813712805575971219181
0.029,0.04,0.193,0.013,False,2.3005826813712805575971219181
0.029,0.04,0.194,0.013,False,2.3005826813712805575971219181
0.027,0.01,0.190,0.012,False,2.2998612149262991635095357847
0.027,0.01,0.191,0.013,False,2.2980588574095309697213338596
0.026,0.04,0.192,0.012,False,2.2942817987537311292414225103
0.026,0.04,0.193,0.012,False,2.2942817987537311292414225103
0.026,0.04,0.194,0.012,False,2.2942817987537311292414225103
0.029,0.04,0.192,0.012,False,2.2933879878848402366378455930
0.029,0.04,0.193,0.012,False,2.2933879878848402366378455930
0.029,0.04,0.194,0.012,False,2.2933879878848402366378455930
0.029,0.04,0.195,0.013,False,2.2929713019823980433545584796
0.028,0.01,0.192,0.013,False,2.2919667563877766378548273157
0.028,0.01,0.193,0.013,False,2.2919667563877766378548273157
0.028,0.01,0.194,0.013,False,2.2919667563877766378548273157
0.028,0.01,0.195,0.013,False,2.2919667563877766378548273157
0.027,0.01,0.191,0.012,False,2.2894611379329655285422924605
0.029,0.04,0.189,0.013,False,2.2893433968566460262593387723
0.029,0.04,0.190,0.013,False,2.2893433968566460262593387723
