Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/04/16,0.026,0.09,0.113,0.023,False,True,False,False,1.4468796471612438785841572093,1.4468796471612438785841572093,0.0000000000000000000000000000,0.0000000000000000000000000000
01/18/16,0.026,0.09,0.110,0.023,False,True,False,False,1.3898607075663019961640066299,1.3886560532221011655125543207,-0.0012046543442008306514523092,-0.0582235939391427130716028886
02/05/16,0.026,0.09,0.113,0.023,False,True,False,False,1.3643132827468736629847484562,1.3626533153691767394904953362,-0.0016599673776969234942531200,-0.0854309861362679697451141823
11/16/16,0.015,0.08,0.152,0.016,False,True,False,False,1.6732150052144033801270375897,1.6622039900573549173501018257,-0.0110110151570484627769357640,0.2124597211742132846202391872
11/18/16,0.026,0.09,0.113,0.023,False,True,False,False,1.6709034245941100282678921693,1.6639256415358153634061829683,-0.0069777830582946648617092010,0.2031703574956252678993845658
11/21/16,0.015,0.08,0.152,0.016,False,True,False,False,1.7047988417216026369779433027,1.6530824467135010088461003255,-0.0517163950081016281318429772,0.1853493796150162484775927220
08/22/17,0.017,0.08,0.148,0.016,False,True,False,False,1.8598518502551090728944360979,1.8519356615225493472804082320,-0.0079161887325597256140278659,0.3324861994159629587800576513
08/30/17,0.015,0.08,0.152,0.016,False,True,False,False,1.8635125078299345768213263957,1.8464259243291831469685101720,-0.0170865835007514298528162237,0.3190602734900370328541317254
09/06/17,0.017,0.08,0.148,0.016,False,True,False,False,1.8566111095143683321536953572,1.8547300727001940578592505474,-0.0018810368141742742944448098,0.3102778383602965138920558771
09/08/17,0.015,0.08,0.152,0.016,False,True,False,False,1.8603188950554834790169351781,1.8501296280328868506722138757,-0.0101892670225966283447213024,0.3037963568788150324105743956
03/19/18,0.017,0.08,0.148,0.016,False,True,False,False,1.9959856510821954293639434330,1.9943562657069655257768650520,-0.0016293853752299035870783810,0.4378337275302970791705042695
03/23/18,0.015,0.08,0.152,0.016,False,True,False,False,2.0015735872787377791850446831,1.9890034943715670352599868776,-0.0125700929071707439250578055,0.4308515708196686850665477141
03/27/18,0.017,0.08,0.148,0.016,False,True,False,False,1.9971493438673001617146028589,1.9931533787783368168755017802,-0.0039959650889633448391010787,0.4224313623192677227570048112
03/28/18,0.015,0.08,0.152,0.016,False,True,False,False,1.9963610772546800406124705051,1.9940461631070208754461777232,-0.0023149141476591651662927819,0.4193281815589884364885796755
03/29/18,0.017,0.08,0.148,0.016,False,True,False,False,1.9994767294375096264159217108,1.9907476049210793990727752365,-0.0087291245164302273431464743,0.4137147092253877949488844069
03/30/18,0.015,0.08,0.152,0.016,False,True,False,False,2.0252303635417690542451890296,1.9661175362645072990303515013,-0.0591128272772617552148375283,0.3803555160523854675633141974
07/09/18,0.015,0.08,0.152,0.016,False,True,False,False,1.9769573217413435462698931871,1.9769573217413435462698931871,0,0.3320824742519599595880183549
