Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta
01/03/17,0.015,0.08,0.152,0.016,False,True,False,True,1.8394610017411513380525622616,1.8394610017411513380525622616,0.0000000000000000000000000000
08/22/17,0.017,0.08,0.148,0.016,False,True,False,True,1.8598518502551090728944360979,1.8519356615225493472804082320,-0.0079161887325597256140278659
08/30/17,0.015,0.08,0.152,0.016,False,True,False,True,1.8635125078299345768213263957,1.8464259243291831469685101720,-0.0170865835007514298528162237
09/06/17,0.017,0.08,0.148,0.016,False,True,False,True,1.8566111095143683321536953572,1.8547300727001940578592505474,-0.0018810368141742742944448098
09/08/17,0.015,0.08,0.152,0.016,False,True,False,True,1.8603188950554834790169351781,1.8501296280328868506722138757,-0.0101892670225966283447213024
03/19/18,0.017,0.08,0.148,0.016,False,True,False,True,1.9959856510821954293639434330,1.9943562657069655257768650520,-0.0016293853752299035870783810
03/23/18,0.015,0.08,0.152,0.016,False,True,False,True,2.0015735872787377791850446831,1.9890034943715670352599868776,-0.0125700929071707439250578055
03/27/18,0.017,0.08,0.148,0.016,False,True,False,True,1.9971493438673001617146028589,1.9931533787783368168755017802,-0.0039959650889633448391010787
03/28/18,0.015,0.08,0.152,0.016,False,True,False,True,1.9963610772546800406124705051,1.9940461631070208754461777232,-0.0023149141476591651662927819
03/29/18,0.017,0.08,0.148,0.016,False,True,False,True,1.9994767294375096264159217108,1.9907476049210793990727752365,-0.0087291245164302273431464743
03/30/18,0.015,0.08,0.152,0.016,False,True,False,True,2.0252303635417690542451890296,1.9661175362645072990303515013,-0.0591128272772617552148375283
06/24/18,0.015,0.08,0.152,0.016,False,True,False,True,1.9115406550746768796032265205,1.9115406550746768796032265205,0
