Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/02/14,0.024,0.05,0.156,0.005,True,True,False,False,1.3134524156239064555440056170,1.3134524156239064555440056170,0.0000000000000000000000000000,0.0000000000000000000000000000
01/10/14,0.024,0.01,0.148,0.005,True,True,False,False,1.3682307403248209707193376116,1.3556783789511323398955981167,-0.0125523613736886308237394949,0.0422259633272258843515924997
01/20/14,0.018,0.15,0.107,0.025,False,True,True,False,1.3373836971731297546509407651,1.3315015006720623958288031411,-0.0058821965010673588221376240,0.0054967236744673094610580292
01/21/14,0.024,0.05,0.156,0.005,True,True,False,False,1.3375772799393401252701657574,1.3398108816391491721266689204,0.0022336016998090468565031630,0.0079239081404867269367861845
02/18/14,0.024,0.05,0.158,0.005,True,True,False,False,1.3397041703445072387656187905,1.3420233710842085950737967319,0.0023192007397013563081779414,0.0123699992853551967404171590
03/12/14,0.024,0.01,0.148,0.005,True,True,False,False,1.4949535400795355399112765813,1.4256619324786309883024842962,-0.0692916076009045516087922851,0.0983277614194789462772826647
03/21/14,0.024,0.05,0.158,0.005,True,True,False,False,1.4649357375916358049012245704,1.4496930789352144468284413977,-0.0152426586564213580727831727,0.0530673002751578531944474811
03/24/14,0.024,0.01,0.148,0.005,True,True,False,False,1.4633566143750094937968444720,1.4530794945386532187582086386,-0.0102771198363562750386358334,0.0412110572221752670514315493
04/18/14,0.018,0.15,0.104,0.025,False,True,True,False,1.5378930971467039661385104606,1.4761661788498173503297223542,-0.0617269182968866158087881064,0.0540206216969831235843094315
07/22/14,0.018,0.15,0.100,0.025,False,True,True,False,1.4478361622332520977624909875,1.4456102095628976904289338290,-0.0022259526703544073335571585,-0.0382622658868231521252672001
07/23/14,0.019,0.15,0.100,0.024,False,True,True,False,1.4628011729381376911611795904,1.4417398595677318913996363014,-0.0210613133704057997615432890,-0.0443585685523433584881218862
08/26/14,0.019,0.15,0.098,0.025,False,True,True,False,1.4716444213031114314302527195,1.4706820836211499503555753873,-0.0009623376819614810746773322,-0.0364776578693310992937260893
08/27/14,0.019,0.15,0.100,0.024,False,True,True,False,1.4811899645318329626147697831,1.4821523022137944436894471153,0.0009623376819614810746773322,-0.0259697769586480870345316935
01/08/15,0.024,0.01,0.151,0.005,True,True,False,False,1.4907223531512473510997151193,1.4873111799867453634985090150,-0.0034111731645019876012061043,-0.0198485615037356861507924616
01/09/15,0.019,0.15,0.100,0.024,False,True,True,False,1.4939462510767927568634379250,1.4837293461582403580927221123,-0.0102169049185523987707158127,-0.0268415684967426791577854686
04/20/15,0.019,0.15,0.104,0.024,False,True,True,False,1.5888447473077284022714696022,1.5906111502682875216700409925,0.0017664029605591193985713903,0.0698233306947520856488175989
08/12/15,0.019,0.15,0.100,0.024,False,True,True,False,1.6098581394634454663764939703,1.6080917365028863469779225800,-0.0017664029605591193985713903,0.0890703198899100303552705767
08/13/15,0.019,0.15,0.104,0.024,False,True,True,False,1.6166926539340790075283812956,1.6184590568946381269269526859,0.0017664029605591193985713903,0.0976712373211026909057292923
02/16/16,0.027,0.02,0.150,0.003,True,True,True,False,1.7847397570702319624889691635,1.7776086034229780982753923751,-0.0071311536472538642135767884,0.2585871868100017816527403718
02/17/16,0.019,0.15,0.104,0.024,False,True,True,False,1.7822063045724033856317142142,1.7798377962859182369987730850,-0.0023685082864851486329411292,0.2536852260256880561625442933
02/18/16,0.027,0.02,0.150,0.003,True,True,True,False,1.7863737439983365376523678563,1.7760760363731696691566184287,-0.0102977076251668684957494276,0.2475549578264543396874485078
